"Latest Tweets","Latest Tweets"
"about","tentang"
"days ago","hari yang lalu"
"hours ago","jam yang lalu"
"minutes ago","menit yang lalu"
"seconds ago","detik yang lalu"
"Flickr Stream","Flickr Stream"
"Email address","Alamat email"
"Join","Join"
"Enter your e-mail Address","Masukan alamat email anda"
"SEARCH","CARI"
"Cart %s items for %s","Cart %s items for %s"
"Cart %s item for %s","Cart %s item for %s"
"Shopping Cart","Keranjang Belanja"
"All Categories","Semua Kategori"
"Catalog Category Search","Catalog Category Search"
"Search","Cari"
"Search entire store here...","Search here..."
"Select Category On Category Pages","Pilih Kategori Pada Artikel Kategori"
"Show Subcategories","Tampilkan Subkategori"
"Subcategory Indentation","Indentasi Subkategori"
"Be the First to Know","Be the First to Know"
"Submit","Submit"